filepath,openness,conscientiousness,extraversion,agreeableness,neuroticism
dataset/archive/Actor_01/03-01-01-01-01-01-01.wav,52.53077739977201,60.82685559588522,73.0655865464156,85.18209523493913,62.44322090649093
dataset/archive/Actor_01/03-01-01-01-01-02-01.wav,58.241780424228004,43.971910448696185,81.42750879828694,86.74275934747618,50.51633322763481
dataset/archive/Actor_01/03-01-01-01-02-01-01.wav,69.73186786671961,70.31583997633592,69.03904625662602,75.53097161156327,56.1959408463059
dataset/archive/Actor_01/03-01-01-01-02-02-01.wav,82.06796131549157,82.52297287027284,47.49904621970405,63.6697186896219,45.57353476177546
dataset/archive/Actor_01/03-01-02-01-01-01-01.wav,68.72247585396447,84.43261001437445,87.90072333723995,51.729129392002164,53.05003058833361
dataset/archive/Actor_01/03-01-02-01-01-02-01.wav,80.65480660419118,85.86773949523001,55.53888134962244,62.38350573277462,52.9940643181848
dataset/archive/Actor_01/03-01-02-01-02-01-01.wav,49.77584433129636,58.521946479493245,83.09026950382038,76.11646929790687,44.71630059900235
dataset/archive/Actor_01/03-01-02-01-02-02-01.wav,86.97596121601705,55.31815086883113,85.72388172770795,49.52046797203347,64.50016669119474
dataset/archive/Actor_01/03-01-02-02-01-01-01.wav,80.67630155390626,84.5410474188605,42.93414883669178,56.791285931104184,68.49356822871692
dataset/archive/Actor_01/03-01-02-02-01-02-01.wav,80.90578342718217,44.70464275889697,71.59971721712805,69.69911199160558,58.05218526720654
dataset/archive/Actor_01/03-01-02-02-02-01-01.wav,42.06968810234912,85.0075321120161,43.57437891746151,58.22420145416871,78.91945768636273
dataset/archive/Actor_01/03-01-02-02-02-02-01.wav,78.01140870456574,89.49442341665491,76.46460226139394,46.523829049028905,68.49924754531858
dataset/archive/Actor_01/03-01-03-01-01-01-01.wav,70.22795636084317,64.29442027733714,45.832774079363766,68.57908756501834,73.15388889793648
dataset/archive/Actor_01/03-01-03-01-01-02-01.wav,87.0564063490643,83.38978957323786,82.67619525517784,49.46834094901319,74.70206116864038
dataset/archive/Actor_01/03-01-03-01-02-01-01.wav,82.23235163055035,42.75754113127013,52.215332353200125,41.948743723374015,48.06675723904741
dataset/archive/Actor_01/03-01-03-01-02-02-01.wav,42.01487311319628,78.68448585437639,63.41694841725449,60.7379579222182,46.63960467189959
dataset/archive/Actor_01/03-01-03-02-01-01-01.wav,81.80969286246074,80.79761919103413,83.5557678645427,58.81814138872391,75.90443589804076
dataset/archive/Actor_01/03-01-03-02-01-02-01.wav,54.98835510467109,67.59163941529144,65.60284770466568,83.41411676634115,52.07604146281349
dataset/archive/Actor_01/03-01-03-02-02-01-01.wav,73.503064952984,65.66735245953308,81.94616761233942,69.37607103967787,63.0816740889185
dataset/archive/Actor_01/03-01-03-02-02-02-01.wav,41.944421884325834,84.28146615430668,54.48697153296774,50.17902210405456,82.25236372434179
dataset/archive/Actor_01/03-01-04-01-01-01-01.wav,80.27659935244364,75.62545168439637,49.75468303386751,49.39661725011506,64.09528360670534
dataset/archive/Actor_01/03-01-04-01-01-02-01.wav,85.78706776951847,42.060186453052964,86.10684013336342,46.453941622266655,83.52730830656681
dataset/archive/Actor_01/03-01-04-01-02-01-01.wav,85.44683523671182,71.79739998002447,55.28104180110348,51.19152836929052,53.78164197087801
dataset/archive/Actor_01/03-01-04-01-02-02-01.wav,43.20300430379223,83.84930900721685,83.94546986393087,53.13661360126924,56.124858503286774
dataset/archive/Actor_01/03-01-04-02-01-01-01.wav,81.88548171191917,80.52495697003633,49.005004186915784,66.14155254511721,74.70705140009326
dataset/archive/Actor_01/03-01-04-02-01-02-01.wav,64.15047238303616,72.67181318275968,63.42845126630009,81.049287184874,60.80135132190843
dataset/archive/Actor_01/03-01-04-02-02-01-01.wav,66.99212717928408,85.23908883255694,64.19013753308539,68.52004767600465,66.40269388268781
dataset/archive/Actor_01/03-01-04-02-02-02-01.wav,69.64954833935226,83.6735195923655,69.60193944543732,61.556380132330546,75.20782434200274
dataset/archive/Actor_01/03-01-05-01-01-01-01.wav,42.97147235878478,86.52407902158211,65.92807598986086,57.79052872885033,50.0982702152394
dataset/archive/Actor_01/03-01-05-01-01-02-01.wav,52.50532224279791,55.821231262452905,77.91920612622883,56.00529868091556,82.25588992365121
dataset/archive/Actor_01/03-01-05-01-02-01-01.wav,66.89481793612764,59.9494894558747,88.90021141898575,89.16340135648412,89.00766443104915
dataset/archive/Actor_01/03-01-05-01-02-02-01.wav,40.380262283034405,78.98560253168023,67.44109745521902,49.1622553525989,60.0264295821329
dataset/archive/Actor_01/03-01-05-02-01-01-01.wav,62.056934932411295,78.92604629717115,51.06117162734561,49.6509316473304,45.80488470817136
dataset/archive/Actor_01/03-01-05-02-01-02-01.wav,45.49017851020493,83.29209255380667,49.54512724531721,78.78301046011094,63.20536902760945
dataset/archive/Actor_01/03-01-05-02-02-01-01.wav,85.12749877111142,73.71319526934332,60.78133452500312,80.31542767735408,72.56612478629822
dataset/archive/Actor_01/03-01-05-02-02-02-01.wav,82.96862431963702,55.82994270334512,83.49249628476326,54.72481695303095,45.52445779730758
dataset/archive/Actor_01/03-01-06-01-01-01-01.wav,43.65663011021346,65.12138528401321,53.815877530072314,68.46896937332193,52.036791555736066
dataset/archive/Actor_01/03-01-06-01-01-02-01.wav,68.1015383652119,87.61566439306506,59.61842468455481,41.475382664512956,79.07320601505512
dataset/archive/Actor_01/03-01-06-01-02-01-01.wav,83.27992860209497,74.87261557292575,82.64723409880727,77.16529443189981,76.23583566322175
dataset/archive/Actor_01/03-01-06-01-02-02-01.wav,58.64481494742613,73.78561889732259,44.933733519021004,64.99869961731042,55.361374057774775
dataset/archive/Actor_01/03-01-06-02-01-01-01.wav,88.17530108407118,80.78134515329562,51.94176150436353,74.61487917873094,78.47912842849351
dataset/archive/Actor_01/03-01-06-02-01-02-01.wav,81.96286418453371,57.66985984757997,55.50661855472191,70.21395907787955,52.311042509797375
dataset/archive/Actor_01/03-01-06-02-02-01-01.wav,67.25872207748026,68.3841982227902,58.96284788659839,70.44192605313896,57.14473990469966
dataset/archive/Actor_01/03-01-06-02-02-02-01.wav,60.02596971136809,74.2144840628509,45.98834569553749,62.4055918476118,52.060864677868516
dataset/archive/Actor_01/03-01-07-01-01-01-01.wav,47.24439102945772,43.70175020813118,75.6420823272836,53.993401251780156,66.98481072736845
dataset/archive/Actor_01/03-01-07-01-01-02-01.wav,88.71280114339265,87.63900267495545,67.65871474841313,44.08462417812549,54.19014646103882
